"","title","company","city","organization","size","type","experience1","degree","size","minimumpay","maximumpay","logmeanpay","experience2","R","SPSS","Excel","Python","MATLAB","Java","SQL","SAS","Stata","EViews","Spark","Hadoop"
"17","大数据分析师","数据堂（北京）科技股份有限公司","北京","民营公司","150-500人","互联网/电子商务",3,"硕士","招聘1人",10000,14999,9.43344392249037,"3-4年",0,0,0,0,0,0,0,0,0,0,0,0
"18","大数据分析员","北京微宝网络科技有限公司","北京","民营公司","50-150人","互联网/电子商务",2,"本科","招聘2人",4500,10000,8.88875674784872,"1-2年",0,0,0,0,0,0,0,0,0,0,0,0
"19","500强顶尖通讯设备制造公司-数据分析专员（销售）","北京外企德科人力资源服务上海有限公司","北京","合资","500-1000人","专业服务(咨询、人力资源、财会)",0,"大专","招聘1人",6000,7999,8.85359399691488,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"20","韦迪汇富诚聘金融数据分析助理可实习","北京韦迪汇富国际投资管理有限公司","北京","民营公司","少于50人","金融/投资/证券",0,"大专","招聘12人",8000,9999,9.10492429921953,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"21","不做加班狗  公司直招数据分析助理","北京万向联合控股集团有限公司","北京","合资","150-500人","金融/投资/证券",0,"大专","招聘6人",6000,7999,8.85359399691488,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"22","数据分析专员","狮桥融资租赁（中国）有限公司","北京","外资","1000-5000人","金融/投资/证券",3,"本科","招聘1人",6000,7999,8.85359399691488,"3-4年",0,0,1,0,0,0,0,0,0,0,0,0
"23","数据分析师","大公信用研究院有限公司","北京","民营公司","少于50人","金融/投资/证券",1,"硕士","招聘3人",6000,7999,8.85359399691488,"1-2年",0,0,0,1,0,0,1,0,0,0,0,0
"24","数据分析专员","国云娱典科技（北京）有限责任公司","北京","民营公司","50-150人","多元化业务集团公司",1,"大专","招聘3人",5000,7000,8.69951474821019,"1-2年",0,0,1,0,0,0,0,0,0,0,0,0
"25","数据分析师","北京卡富通盈科技有限公司","北京","民营公司","50-150人","互联网/电子商务",2,"无","招聘若干人",10000,20000,9.61580548008435,"1-2年",0,1,0,0,0,0,1,0,0,0,0,0
"26","零基础培训数据分析师/分析师助理","北京万向通汇投资有限公司","北京","民营公司","150-500人","金融/投资/证券",2,"本科","招聘7人",10000,14999,9.43344392249037,"1-2年",0,0,0,0,0,0,0,0,0,0,0,0
"27","风险数据分析岗","深圳瑞银信信息技术有限公司北京分公司","北京","非营利机构","1000-5000人","金融/投资/证券",0,"本科","招聘1人",8000,12000,9.21034037197618,"无经验要求",0,0,0,0,0,0,0,1,0,0,0,0
"28","数据分析高级经理- 猎头岗 40-50万","北京道格尔景观标识工程有限公司","北京","民营公司","50-150人","互联网/电子商务",0,"本科","招聘若干人",10000,14999,9.43344392249037,"无经验要求",0,1,1,0,0,0,0,0,0,0,0,0
"29","财务数据分析","北京东昇农业技术开发（集团）有限公司","北京","合资","500-1000人","农/林/牧/渔",0,"本科","招聘1人",8000,9999,9.10492429921953,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"30","应届毕业生首选金融行业  诚聘金融数据分析员","北京韦迪汇富国际投资管理有限公司","北京","民营公司","50-150人","金融/投资/证券",0,"大专","招聘6人",6000,7999,8.85359399691488,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"31","大数据分析师","北京升鑫网络科技有限公司","北京","民营公司","少于50人","互联网/电子商务",3,"本科","招聘1人",10000,15000,9.43348392329039,"3-4年",0,0,0,1,0,1,0,0,0,0,1,1
"32","平台规则管理（数据分析）(013131) (职位编号：JD013131)","京东商城","北京","外资","10000人以上","互联网/电子商务",3,"本科","招聘1人",8000,9999,9.10492429921953,"3-4年",0,0,0,0,0,0,0,0,0,0,0,0
"33","数据分析员","北京英瑞森市场咨询有限公司","北京","民营公司","50-150人","专业服务(咨询、人力资源、财会)",1,"大专","招聘2人",4000,8000,8.69951474821019,"1-2年",0,1,0,0,0,0,1,1,0,0,0,0
"34","数据分析工程师","北京思朗特科技有限公司","北京","上市公司","50-150人","计算机软件",3,"硕士","招聘1人",25000,29999,10.2219231016712,"3-4年",0,0,0,0,0,0,0,0,0,0,0,0
"35","数据分析专员","北京城市一百物流有限公司","北京","民营公司","500-1000人","交通/运输/物流",0,"无","招聘3人",4000,6000,8.51719319141624,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"36","数据分析员","广州市千佰莉鞋业有限公司","北京","民营公司","150-500人","批发/零售",2,"大专","招聘2人",3500,5000,8.35467426191846,"1-2年",0,0,0,0,0,0,0,0,0,0,0,0
"37","舆情分析专员/舆情监测专员/数据分析员","北京捷报数据技术有限公司","北京","上市公司","50-150人","互联网/电子商务",1,"本科","招聘2人",4500,5999,8.565888112955,"1-2年",0,0,0,0,0,0,0,0,0,0,0,0
"38","数据分析师","北京车网互联科技有限公司","北京","上市公司","150-500人","互联网/电子商务",2,"本科","招聘1人",6000,15000,9.25913053614561,"1-2年",1,0,0,0,1,0,0,1,0,0,0,0
"39","商品主管/货品管理/数据分析/买手","华歌尔（中国）时装有限公司","北京","外资","1000-5000人","服装/纺织/皮革",0,"大专","招聘若干人",NA,NA,NA,"无经验要求",0,0,1,0,0,0,0,0,0,0,0,0
"40","研究员（数据分析 海归优先）","央视市场研究股份有限公司","北京","合资","500-1000人","专业服务(咨询、人力资源、财会)",2,"本科","招聘1人",NA,NA,NA,"1-2年",0,0,0,0,0,0,0,0,0,0,0,0
"41","大数据分析师","北京明朝万达科技股份有限公司","北京","民营公司","150-500人","计算机软件",5,"本科","招聘1人",15000,30000,10.0212705881925,"5-6年",1,1,1,0,0,0,0,0,0,0,0,0
"42","数据分析主管","永兴东润（中国）服饰有限公司","北京","外资","150-500人","服装/纺织/皮革",3,"大专","招聘若干人",8000,9999,9.10492429921953,"3-4年",0,0,1,0,0,0,0,0,0,0,0,0
"43","私募见习交易员 金融外汇数据分析师（早九晚五）","北京华中投资有限公司","北京","合资","150-500人","金融/投资/证券",1,"本科","招聘15人",8000,15000,9.35010231435134,"1-2年",0,0,0,0,0,0,0,0,0,0,0,0
"44","数据分析师 (职位编号：00039)","互爱互动（北京）科技有限公司","北京","民营公司","1000-5000人","网络游戏",0,"无","招聘1人",10000,14999,9.43344392249037,"无经验要求",1,0,1,0,0,0,1,0,0,0,0,0
"45","数据分析专员","中都物流有限公司","北京","国企","500-1000人","交通/运输/物流",2,"本科","招聘1人",4000,6000,8.51719319141624,"1-2年",1,1,0,0,1,0,1,1,0,0,0,0
"46","数据分析岗","沣邦融资租赁（上海）有限公司","北京","合资","50-150人","金融/投资/证券",2,"本科","招聘1人",8000,16000,9.39266192877014,"1-2年",0,0,1,0,0,0,0,0,0,0,0,0
"47","数据分析专员","房天下（北京）","北京","外资","500-1000人","互联网/电子商务",1,"本科","招聘2人",4500,5999,8.565888112955,"1-2年",0,0,0,0,0,0,0,0,0,0,0,0
"48","口碑-大区中台数据分析 (职位编号：GP030158)","阿里巴巴集团","北京","上市公司","10000人以上","互联网/电子商务",3,"本科","招聘1人",NA,NA,NA,"3-4年",0,1,1,0,0,0,1,0,0,0,0,0
"49","数据分析专员","北京水木联合科技有限公司","北京","创业公司","少于50人","互联网/电子商务",0,"本科","招聘2人",5000,15000,9.21034037197618,"无经验要求",1,1,0,1,0,0,1,1,0,0,0,0
"50","金融外汇数据分析师（零基础可培训） 6千-1W5底薪","恒阳（北京）国际投资咨询有限公司","北京","民营公司","500-1000人","金融/投资/证券",0,"无","招聘8人",6000,7999,8.85359399691488,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"51","二手车数据分析专员","人和百年（北京）汽车企业管理有限公司","北京","民营公司","50-150人","汽车及零配件",2,"无","招聘1人",6000,7999,8.85359399691488,"1-2年",0,0,0,0,0,0,0,0,0,0,0,0
"52","数据分析专员","团车互联网信息服务（北京）有限公司","北京","外资","500-1000人","互联网/电子商务",0,"无","招聘1人",3000,4499,8.22937777674144,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"53","数据分析主管/经理 (职位编号：供应链金融事业部)","国美金控投资有限公司","北京","民营公司","500-1000人","金融/投资/证券",2,"本科","招聘若干人",8000,15000,9.35010231435134,"1-2年",0,0,0,0,0,1,1,1,0,0,0,1
"54","数据分析","客如云科技（北京）股份有限公司","北京","上市公司","1000-5000人","互联网/电子商务",0,"本科","招聘1人",4500,5999,8.565888112955,"无经验要求",0,0,1,0,0,0,0,0,0,0,0,0
"55","临床数据分析员","北京铂鑫天然生物技术有限公司","北京","民营公司","50-150人","快速消费品(食品、饮料、化妆品)",0,"本科","招聘1人",4000,8000,8.69951474821019,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"56","数据分析师","壹仟零壹艺网络科技（北京）有限公司","北京","民营公司","50-150人","互联网/电子商务",3,"大专","招聘1人",10000,14999,9.43344392249037,"3-4年",0,0,0,1,0,0,1,0,0,0,0,0
"57","高级数据分析师","北京车到网络科技有限公司","北京","民营公司","150-500人","互联网/电子商务",2,"本科","招聘1人",15000,19999,9.76992758807486,"1-2年",1,1,0,1,0,1,1,0,0,0,0,0
"58","数据分析师","北京明日时尚信息技术有限公司","北京","创业公司","50-150人","互联网/电子商务",0,"本科","招聘3人",6000,12000,9.10497985631836,"无经验要求",0,0,0,1,0,1,0,1,1,0,0,0
"59","数据分析 (职位编号：jieyue000738)","北京捷越联合信息咨询有限公司","北京","民营公司","5000-10000人","互联网/电子商务",2,"本科","招聘2人",6000,7999,8.85359399691488,"1-2年",1,0,0,0,1,0,0,1,0,0,0,0
"60","数据分析助理","北京奇思客网络科技有限公司","北京","民营公司","少于50人","生活服务",0,"本科","招聘5人",4500,5999,8.565888112955,"无经验要求",0,0,1,0,0,0,0,0,0,0,0,0
"61","数据分析师","国创科视科技股份有限公司","北京","民营公司","50-150人","通信/电信/网络设备",2,"无","招聘1人",10000,20000,9.61580548008435,"1-2年",1,1,0,1,0,0,1,0,0,0,0,0
"62","excel数据分析专员、VBA开发/软件工程师、VBA开发","北京知行乐学教育科技有限公司","北京","民营公司","150-500人","教育/培训/院校",0,"大专","招聘若干人",4000,8000,8.69951474821019,"无经验要求",0,0,1,0,0,0,1,0,0,0,0,0
"63","数据分析师","世界企业家资讯有限公司","北京","外资","50-150人","专业服务(咨询、人力资源、财会)",1,"硕士","招聘2人",6000,12000,9.10497985631836,"1-2年",1,1,0,1,0,0,1,1,0,0,0,0
"64","数据分析主管","北京红缀户外用品有限公司","北京","民营公司","500-1000人","服装/纺织/皮革",3,"大专","招聘1人",4000,8000,8.69951474821019,"3-4年",0,0,1,0,0,0,0,0,0,0,0,0
"65","产品数据分析","北京掌趣科技股份有限公司","北京","上市公司","1000-5000人","网络游戏",2,"大专","招聘2人",8000,9999,9.10492429921953,"1-2年",0,0,1,0,0,0,0,0,0,0,0,0
"66","数据分析师","北京顺顺必达信息咨询有限公司","北京","合资","1000-5000人","教育/培训/院校",0,"本科","招聘1人",3000,4499,8.22937777674144,"无经验要求",0,0,1,0,0,0,0,0,0,0,0,0
"67","数据分析经理","阿凡提金服（北京）科技有限公司","北京","创业公司","50-150人","金融/投资/证券",0,"本科","招聘1人",10000,14999,9.43344392249037,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"68","数据分析专员","北京维杰资讯有限公司","北京","民营公司","50-150人","金融/投资/证券",0,"本科","招聘4人",8000,9999,9.10492429921953,"无经验要求",0,0,1,0,0,0,0,0,0,0,0,0
"69","金融数据分析师","有利网","北京","民营公司","500-1000人","互联网/电子商务",0,"本科","招聘4人",8000,9999,9.10492429921953,"无经验要求",0,1,0,0,0,0,1,1,0,0,0,0
"70","数据分析算法工程师","北京华如科技股份有限公司","北京","民营公司","150-500人","计算机软件",1,"硕士","招聘2人",6000,7999,8.85359399691488,"1-2年",0,1,0,0,1,0,0,0,0,0,0,0
"71","数据分析员","北京新锐佳乐科技有限公司","北京","民营公司","50-150人","互联网/电子商务",1,"大专","招聘1人",3000,4499,8.22937777674144,"1-2年",0,0,1,0,0,0,0,0,0,0,0,0
"72","数据分析主管（电商）","上海古星电子商务有限公司北京海淀办事处","北京","民营公司","500-1000人","互联网/电子商务",2,"无","招聘1人",8000,9999,9.10492429921953,"1-2年",0,0,1,0,0,0,0,0,0,0,0,0
"73","数据分析师","北京飞行者音乐科技有限公司","北京","合资","150-500人","影视/媒体/艺术/文化传播",1,"本科","招聘1人",6000,12000,9.10497985631836,"1-2年",0,0,1,0,0,0,0,1,0,0,0,0
"74","Java（大数据分析、开发）","北京腾信软创科技股份有限公司","北京","民营公司","500-1000人","计算机软件",3,"大专","招聘1人",10000,14999,9.43344392249037,"3-4年",1,0,0,1,0,1,0,0,0,0,0,0
"75","数据分析","人人车","北京","民营公司","1000-5000人","互联网/电子商务",2,"本科","招聘2人",6000,10000,8.98719682066197,"1-2年",0,0,1,0,0,0,0,0,0,0,0,0
"76","数据分析专员","津桥国际教育集团","北京","民营公司","150-500人","教育/培训/院校",1,"大专","招聘2人",3000,4499,8.22937777674144,"1-2年",0,0,1,0,0,0,0,0,0,0,0,0
"77","数据分析架构师","北京洞察力科技股份有限公司","北京","民营公司","150-500人","公关/市场推广/会展",5,"大专","招聘3人",10000,14999,9.43344392249037,"5-6年",0,0,0,0,0,0,0,0,0,0,0,1
"78","数据分析员","北京金凼源文化发展有限公司","北京","民营公司","50-150人","奢侈品/收藏品/工艺品/珠宝",1,"无","招聘1人",3500,5000,8.35467426191846,"1-2年",0,0,1,0,0,0,0,0,0,0,0,0
"79","视频-广告销售中心-数据分析师（BJ） (职位编号：sohu007213)","搜狐视频","北京","外资","500-1000人","互联网/电子商务",3,"本科","招聘若干人",8000,9999,9.10492429921953,"3-4年",0,0,1,0,0,0,0,0,0,0,0,0
"80","数据分析顾问","上海汉得信息技术股份有限公司","北京","上市公司","1000-5000人","专业服务(咨询、人力资源、财会)",2,"无","招聘若干人",10000,14999,9.43344392249037,"1-2年",1,0,1,0,1,0,1,1,0,0,0,0
"81","联想选件数据分析","北京麦圃国际投资顾问有限公司","北京","民营公司","50-150人","互联网/电子商务",0,"无","招聘1人",4500,5999,8.565888112955,"无经验要求",0,0,1,0,0,0,0,0,0,0,0,0
"82","数据分析师","北京磨铁图书有限公司","北京","民营公司","150-500人","文字媒体/出版",4,"本科","招聘1人",10000,20000,9.61580548008435,"3-4年",0,0,0,0,0,0,0,0,0,0,0,0
"83","数据分析师","祖龙（天津）科技有限公司北京分公司","北京","民营公司","500-1000人","网络游戏",2,"本科","招聘若干人",15000,19999,9.76992758807486,"1-2年",1,1,1,0,0,0,1,0,0,0,0,0
"84","数据分析高级专员 (职位编号：xdf006783)","北京新东方教育科技（集团）有限公司","北京","民营公司","10000人以上","教育/培训/院校",1,"本科","招聘若干人",8000,9999,9.10492429921953,"1-2年",1,1,0,0,0,0,0,1,0,0,0,0
"85","数据分析","北京联龙博通电子商务技术有限公司","北京","民营公司","1000-5000人","互联网/电子商务",0,"无","招聘1人",10000,14999,9.43344392249037,"无经验要求",0,1,1,0,0,0,1,0,0,1,0,0
"86","数据分析师","北京香送电子商务有限公司","北京","创业公司","50-150人","互联网/电子商务",0,"本科","招聘1人",10000,14999,9.43344392249037,"无经验要求",1,1,0,0,0,0,1,1,0,0,0,0
"87","数据分析师/数据挖掘","北京易鑫信息科技有限公司","北京","民营公司","500-1000人","互联网/电子商务",3,"大专","招聘2人",10000,20000,9.61580548008435,"3-4年",1,1,1,0,0,0,0,0,0,0,0,0
"88","数据分析师","北京易观网络信息咨询有限公司","北京","民营公司","150-500人","互联网/电子商务",3,"本科","招聘1人",10000,14999,9.43344392249037,"3-4年",1,1,1,0,0,0,0,1,0,0,0,0
"89","大数据分析售前经理","印孚瑟斯技术（中国）有限公司","北京","外资","1000-5000人","计算机软件",8,"本科","招聘2人",30000,39999,10.4630890546552,"7-8年",0,0,0,0,0,0,0,0,0,0,1,1
"90","用户运营（数据分析方向）","同仁堂国际","北京","民营公司","50-150人","互联网/电子商务",2,"本科","招聘1人",6000,8000,8.85366542803745,"1-2年",0,1,1,0,0,0,1,1,0,0,0,0
"91","数据分析/市场调研","北京宇辰世纪科技发展有限公司","北京","民营公司","少于50人","互联网/电子商务",0,"本科","招聘1人",6000,7999,8.85359399691488,"无经验要求",0,0,1,0,0,0,1,0,0,0,0,0
"92","高级数据分析顾问（DMP或CRM数据应用方向）","北京国双科技有限公司","北京","民营公司","500-1000人","互联网/电子商务",5,"本科","招聘1人",15000,30000,10.0212705881925,"5-6年",0,0,0,0,0,0,0,0,0,0,0,0
"93","数据分析师(电商) (职位编号：4)","西集网","北京","民营公司","50-150人","互联网/电子商务",3,"本科","招聘1人",8000,12000,9.21034037197618,"3-4年",1,1,1,1,0,0,1,0,0,0,0,0
"94","数据分析主管 (职位编号：xdf007638)","新东方国际游学推广管理中心","北京","民营公司","50-150人","中介服务",3,"本科","招聘1人",10000,14999,9.43344392249037,"3-4年",1,1,0,0,1,0,0,1,0,0,0,0
"95","高级数据分析师","中科金审（北京）科技有限公司","北京","民营公司","50-150人","计算机软件",5,"本科","招聘3人",8000,12000,9.21034037197618,"5-6年",0,1,0,0,0,0,1,1,0,0,0,0
"96","运营数据分析师","北京汇通天下物联科技有限公司","北京","民营公司","500-1000人","互联网/电子商务",2,"无","招聘2人",6000,NA,NA,"1-2年",0,0,0,0,0,0,0,0,0,0,0,0
"97","SFE专员（数据分析专员）——RX专科线","北京华润北贸医药经营有限公司","北京","国企","150-500人","制药/生物工程",0,"本科","招聘1人",8000,9999,9.10492429921953,"无经验要求",0,0,1,0,0,0,0,0,0,0,0,0
"98","高级数据分析","北京积木时代信息咨询有限公司","北京","民营公司","500-1000人","互联网/电子商务",3,"本科","招聘1人",8000,9999,9.10492429921953,"3-4年",0,0,1,0,0,0,1,1,0,0,0,0
"99","数据分析师","北京欣茂华成投资管理有限公司","北京","民营公司","少于50人","金融/投资/证券",2,"大专","招聘2人",4500,5999,8.565888112955,"1-2年",0,0,0,0,0,0,1,0,0,0,0,0
"100","数据分析师","西安美林数据技术股份有限公司","北京","民营公司","150-500人","计算机软件",1,"本科","招聘5人",10000,14999,9.43344392249037,"1-2年",1,1,0,0,0,0,1,1,0,0,0,0
"101","高级数据分析经理","北京零拾科技有限公司","北京","民营公司","150-500人","互联网/电子商务",0,"大专","招聘1人",10000,20000,9.61580548008435,"无经验要求",1,1,1,0,0,0,1,0,0,0,0,0
"102","电影数据分析主管","新丽传媒股份有限公司","北京","民营公司","150-500人","影视/媒体/艺术/文化传播",1,"本科","招聘1人",4500,5999,8.565888112955,"1-2年",0,0,0,0,0,0,0,0,0,0,0,0
"103","大数据分析师","北京博万管理咨询有限公司","北京","民营公司","150-500人","专业服务(咨询、人力资源、财会)",1,"本科","招聘1人",5000,8000,8.77955745588373,"1-2年",1,1,0,0,0,0,0,1,0,0,0,0
"104","数据分析实习生 (职位编号：36)","北京亿邦动力广告有限公司","北京","民营公司","50-150人","互联网/电子商务",0,"无","招聘1人",2000,2999,7.82384599085363,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"105","数据分析员","国鑫金服网络集团有限公司","北京","民营公司","500-1000人","金融/投资/证券",1,"本科","招聘1人",6000,7999,8.85359399691488,"1-2年",0,0,1,0,1,0,1,0,0,0,0,0
"106","数据分析/算法工程师","瓦力必达科技（北京）有限公司","北京","民营公司","少于50人","互联网/电子商务",0,"大专","招聘2人",10000,20000,9.61580548008435,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"107","车企巨头质量部门数据分析","薪得付信息技术（上海）有限公司","北京","外资","500-1000人","专业服务(咨询、人力资源、财会)",3,"本科","招聘1人",10000,14999,9.43344392249037,"3-4年",0,0,1,0,0,0,0,0,0,0,0,0
"108","数据分析工程师","山东中创软件工程股份有限公司","北京","民营公司","1000-5000人","计算机软件",0,"本科","招聘若干人",10000,14999,9.43344392249037,"无经验要求",0,0,0,0,0,0,1,0,0,0,0,0
"109","数据分析师","北京掌上明珠科技股份有限公司","北京","合资","150-500人","网络游戏",1,"大专","招聘1人",8000,9999,9.10492429921953,"1-2年",0,1,1,0,0,0,1,1,0,0,0,0
"110","大数据分析师","华鸿汇德（北京）信息技术有限公司","北京","民营公司","50-150人","计算机服务(系统、数据服务、维修)",5,"本科","招聘1人",12000,20000,9.68034400122192,"5-6年",0,1,0,0,0,0,1,1,0,0,1,1
"111","产品规划师（数据分析）","深圳市龙图软件有限公司","北京","民营公司","150-500人","计算机软件",5,"本科","招聘2人",10000,14999,9.43344392249037,"5-6年",0,0,0,0,0,0,0,0,0,0,0,0
"112","电商数据分析产品经理","暴风集团股份有限公司","北京","上市公司","500-1000人","互联网/电子商务",0,"本科","招聘1人",15000,25000,9.90348755253613,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"113","数据分析主管（北京） (职位编号：xdf007888)","北京新东方学校","北京","民营公司","5000-10000人","教育/培训/院校",3,"本科","招聘1人",10000,14999,9.43344392249037,"3-4年",0,0,0,0,0,0,0,0,0,0,0,0
"114","数据分析专员","北京联合映画文化传媒有限公司","北京","民营公司","50-150人","影视/媒体/艺术/文化传播",0,"无","招聘若干人",4500,5999,8.565888112955,"无经验要求",0,0,1,0,0,0,0,0,0,0,0,0
"115","安踏急聘--数据分析专员","北京吉元盛宝国际贸易有限公司","北京","民营公司","500-1000人","服装/纺织/皮革",2,"大专","招聘1人",4500,5999,8.565888112955,"1-2年",0,0,1,0,0,0,0,0,0,0,0,0
"116","助理数据分析师","北京奥维云网大数据科技股份有限公司","北京","上市公司","150-500人","专业服务(咨询、人力资源、财会)",1,"本科","招聘1人",4500,5999,8.565888112955,"1-2年",0,0,1,0,0,0,0,0,0,0,0,0
"117","数据分析工程师","易视腾科技股份有限公司","北京","民营公司","150-500人","计算机软件",2,"本科","招聘若干人",8000,9999,9.10492429921953,"1-2年",0,0,1,0,0,0,0,0,0,0,0,0
"118","运营商大数据分析","北京百卓网络技术有限公司","北京","民营公司","150-500人","计算机服务(系统、数据服务、维修)",5,"本科","招聘2人",15000,25000,9.90348755253613,"5-6年",0,0,0,0,0,1,1,0,0,0,1,1
"119","数据分析专员","山东沃华医药科技股份有限公司","北京","上市公司","1000-5000人","制药/生物工程",0,"大专","招聘若干人",4500,5999,8.565888112955,"无经验要求",0,0,0,0,0,0,0,0,0,0,0,0
"120","数据分析师","搜易贷（北京）信息技术咨询有限公司","北京","民营公司","150-500人","金融/投资/证券",2,"本科","招聘2人",10000,20000,9.61580548008435,"1-2年",0,0,0,1,0,0,0,0,0,0,0,0
"121","数据分析","上海祺尚管理咨询有限公司","北京","民营公司","50-150人","专业服务(咨询、人力资源、财会)",2,"大专","招聘2人",10000,14999,9.43344392249037,"1-2年",0,0,0,0,0,0,0,0,0,0,0,0
"122","医疗集团 数据分析师","朝聚眼科集团","北京","民营公司","500-1000人","医疗/护理/卫生",0,"本科","招聘若干人",NA,NA,NA,"无经验要求",0,1,0,0,0,0,1,1,0,0,0,0
"123","数据分析助理","北京华文天元信息咨询有限公司","北京","民营公司","少于50人","专业服务(咨询、人力资源、财会)",2,"本科","招聘3人",4500,5999,8.565888112955,"1-2年",0,0,1,0,0,0,0,0,0,0,0,0
"124","数据分析工程师——新业务中心","国美在线","北京","合资","10000人以上","互联网/电子商务",0,"无","招聘1人",15000,19999,9.76992758807486,"无经验要求",0,0,1,0,0,0,0,0,0,0,0,0
"125","高级数据分析经理","北京佳意堂广告有限公司","北京","民营公司","50-150人","广告",3,"本科","招聘1人",10000,14999,9.43344392249037,"3-4年",0,0,0,0,0,0,0,0,0,0,0,0
"126","销售助理/销售数据分析","随行付支付有限公司","北京","民营公司","500-1000人","通信/电信运营、增值服务",0,"无","招聘1人",6000,7999,8.85359399691488,"无经验要求",0,0,1,0,0,0,1,0,0,0,0,0
"127","教育评价数据分析师","北京星立方科技发展股份有限公司","北京","上市公司","50-150人","计算机软件",2,"硕士","招聘1人",15000,30000,10.0212705881925,"1-2年",0,0,0,0,0,0,0,0,0,0,0,0
